2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:372 - VS: 
2025-05-20 19:44:58.199 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الحمدلله رب العالمين
2025-05-20 19:44:58.200 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.202 | INFO     | __main__:parse_all_downloaded:633 - page_22.html
2025-05-20 19:44:58.215 | INFO     | __main__:save_to_sqlite:545 - Saved 0 new poems to output/poetry.db
2025-05-20 19:44:58.267 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.267 | INFO     | __main__:extract_poetry_data:370 - AYA: 3
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:371 - TARGET: الرحمنالرحيم
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:372 - VS: الرحمنالرحيم
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الرحمنالرحيم
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: True
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:371 - TARGET: الحمدللهربالعالمين
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:372 - VS: 
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الرحمنالرحيم
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:371 - TARGET: مالكيومالدين
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:372 - VS: 
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:373 - LAST VS: الرحمنالرحيم
2025-05-20 19:44:58.268 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.271 | INFO     | __main__:parse_all_downloaded:633 - page_23.html
2025-05-20 19:44:58.282 | INFO     | __main__:save_to_sqlite:545 - Saved 0 new poems to output/poetry.db
2025-05-20 19:44:58.338 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:371 - TARGET: مالكيومالدين
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:372 - VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:373 - LAST VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:371 - TARGET: الرحمنالرحيم
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:372 - VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:373 - LAST VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:371 - TARGET: إياكنعبدوإياكنستعين
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:372 - VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:373 - LAST VS: مالك
2025-05-20 19:44:58.339 | INFO     | __main__:extract_poetry_data:374 - SIMILAR: False
2025-05-20 19:44:58.344 | INFO     | __main__:parse_all_downloaded:633 - page_24.html
2025-05-20 19:44:58.353 | INFO     | __main__:save_to_sqlite:545 - Saved 0 new poems to output/poetry.db
2025-05-20 19:44:58.409 | INFO     | __main__:extract_poetry_data:369 - SURAHNAME: الفاتحة
2025-05-20 19:44:58.410 | INFO     | __main__:extract_poetry_data:370 - AYA: 4
2025-05-20 19:44:58.410 | INFO     | __main__:extract_poetry_data:371 - TARGET: مالكيومالدين
